Status,Location,Service,25 kHz,8.33kHz,Indicated Conversion Date,LARS/SQUAWK,ICAO Code,ANO,,,,,,,,,,,,,,
Not Yet Converted,BOURNE PARK,A/G,134.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOURNEMOUTH,ATIS,133.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOURNEMOUTH/HURN,APP,118.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOURNEMOUTH/HURN,APP,119.475,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,BOURNEMOUTH/HURN,AS,121.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOURNEMOUTH/HURN,TWR,125.600,,,-,,,,,,,,,,,,,,,,
Conversion Requested,BREIGHTON,A/G,129.800,129.805,01/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRISTOL/LULSGATE,AS,121.925,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRISTOL/LULSGATE,APP,125.650,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,BRISTOL/LULSGATE,ATIS,126.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRISTOL/LULSGATE,TWR,133.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRISTOL/LULSGATE,APP,136.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE NORTON,APP,119.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,AS,121.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,APP,123.550,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,APP,123.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,APP,124.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,APP,127.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRIZE/NORTON,APP,133.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BRUNTINGTHORPE,A/G,122.825,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CAERNARFON,A/G,122.250,,,-,,,,,,,,,,,,,,,,
Conversion Requested,CAMBRIDGE,AS,121.775,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,CAMBRIDGE,APP,123.600,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,CAMBRIDGE,APP,124.975,,,-,,,,,,,,,,,,,,,,
Conversion Requested,CAMBRIDGE,TWR,125.900,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,CAMBRIDGE,ATIS,134.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CAPE WRATH,A/G,122.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CARDIFF HELIPORT,A/G,120.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CARDIFF/CARDIFF,APP,119.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CARDIFF/CARDIFF,AS,121.700,,,-,,,,,,,,,,,,,,,,
Conversion Requested,CARDIFF/CARDIFF,APP,125.850,125.855,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,CARDIFF/CARDIFF,ATIS,132.475,132.480,01/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,CARDIFF/CARDIFF,TWR,133.100,,,-,,,,,,,,,,,,,,,,
Conversion Requested,CARLISLE,ATIS,118.425,118.430,01/10/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,CARLISLE,APP,123.600,123.605,01/10/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,CHALGROVE,A/G,125.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CHICHESTER/GOODWOOD,APP,122.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CHILTERN PARK,A/G,134.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CHIVENOR,APP,130.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CHURCH FENTON,A/G,126.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CLACTON,A/G,118.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CLENCH COMMON,A/G,119.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COLERNE,A/G,120.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COLL,A/G,125.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COLONSAY,A/G,123.800,,,-,,,,,,,,,,,,,,,,
Conversion Requested,COMPTON ABBAS,A/G,122.700,122.705,TBC,-,YES,,,,,,,,,,,,,,,
Not Yet Converted,CONINGSBY,AS,121.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CONNINGSBY,TWR,119.200,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,CONNINGSBY,TWR,124.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COSFORD,TWR,128.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COSFORD,TWR,135.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COTTESMORE,TWR,125.525,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COVENTRY,TWR,118.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COVENTRY,AS,121.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COVENTRY,AFIS,123.825,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COVENTRY,ATIS,126.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,COVENTRY,APP,136.150,,,-,,,,,,,,,,,,,,,,
Conversion Requested,CRANFIELD,ATIS,121.875,121.880,16/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,CRANFIELD,APP,122.850,122.855,16/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,CRANFIELD,TWR,134.925,134.930,16/04/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,CRANWELL,AS,121.775,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CRANWELL,TWR,124.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CRANWELL,TWR,125.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,CREDENHILL,A/G,134.150,,,-,,,,,,,,,,,,,,,,
Conversion Completed,CULDROSE,A/G,,127.630,,-,EGDR,,,,,,,,,,,,,,,
Not Yet Converted,CULDROSE,APP,134.050,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Completed,CUMBERNAULD,A/G,,120.605,,-,EGPG,,,,,,,,,,,,,,,
Conversion Requested,DAMYNS HALL,A/G,119.550,119.555,16/04/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,DEANLAND,A/G,129.725,129.730,01/04/2018,-,EGKL,,,,,,,,,,,,,,,
Not Yet Converted,DENHAM,A/G,130.725,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DERBY,A/G,118.350,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DOUNREAY/THURSO,APP,122.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUNDEE,ATIS,119.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUNDEE,APP,122.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUNKESWELL,A/G,123.475,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUNSFOLD,TWR,119.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUNSTABLE,A/G,119.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DURHAM TEES VALLEY,APP,118.850,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,DURHAM TEES VALLEY,TWR,119.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DURHAM TEES VALLEY,APP,128.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DURHAM TEES VALLEY,ATIS,132.375,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUXFORD,A/G,119.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUXFORD,AFIS,121.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,DUXFORD,AFIS,122.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EARLS COLNE,A/G,122.425,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST FORTUNE,A/G,118.125,,,-,,,,,,,,,,,,,,,,
Conversion Requested,EAST FORTUNE,A/G,118.750,,31/05/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS,APP,126.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS AIRPORT,ATIS,122.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS/EAST M,APP,120.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS/EAST M,AS,121.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS/EAST M,TWR,124.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS/EAST M,ATIS,128.225,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EAST MIDLANDS/EAST M,APP,134.175,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,EDDSFIELD,A/G,134.000,,,-,,,,,,,,,,,,,,,,
Conversion Completed,EDINBURGH,AS,,121.905,,-,EGPH,,,,,,,,,,,,,,,
Not Yet Converted,EDINBURGH/DEANCROSS,ATIS,131.350,,,-,,,,,,,,,,,,,,,,
Conversion Requested,EDINBURGH,TWR,118.700,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,EDINBURGH/EDINBURGH,APP,121.200,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,EDINBURGH,AS,121.975,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,EDINBURGH,AS,121.975,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,EDINBURGH,APP,128.975,,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,EDINBURGH,ATIS,131.350,,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,ELSTREE,TWR,122.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ELVINGTON,A/G,119.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ENNISKILLEN,A/G,123.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ENSTONE,A/G,129.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ESHOTT,A/G,122.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EXETER,ATIS,119.325,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EXETER,TWR,119.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EXETER,APP,123.575,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,EXETER,APP,128.975,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,FAIR ISLE,A/G,118.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FAIRFORD,AS,121.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FAIRFORD,TWR,124.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FAIRFORD,ATIS,135.450,,,-,,,,,,,,,,,,,,,,
Conversion Requested,FAIROAKS,A/G,123.425,,TBC,-,,,,,,,,,,,,,,,,
Conversion Completed,FARNBOROUGH,TWR,122.500,122.780,,-,EGLF,,,,,,,,,,,,,,,
Not Yet Converted,FARNBOROUGH,APP,125.250,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Completed,FARNBOROUGH,ATIS,128.400,128.405,,-,EGLF,,,,,,,,,,,,,,,
Not Yet Converted,FARNBOROUGH,APP,128.850,,,-,,,,,,,,,,,,,,,,
Conversion Completed,FARNBOROUGH,APP,130.050,130.055,,-,EGLF,,,,,,,,,,,,,,,
Conversion Requested,FARNBOROUGH,APP,134.350,134.355,28/03/2018,-,EGLF,,,,,,,,,,,,,,,
Not Yet Converted,FARNBOROUGH,TWR,135.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FENLAND,AFIS,122.925,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FINNINGLEY,AS,121.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FINNINGLEY,APP,126.225,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,FINNINGLEY,TWR,128.775,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FINNINGLEY,APP,129.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FINNINGLEY,ATIS,134.950,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FISHBURN AIRFIELD,A/G,118.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FLEETLANDS,TWR,135.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FOWLMERE,A/G,135.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,FULL SUTTON,A/G,120.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GAMSTON,A/G,130.475,,,-,,,,,,,,,,,,,,,,
Conversion Completed,GATWICK,AS,121.930,121.930,,-,EGKK,,,,,,,,,,,,,,,
Conversion Requested,GLASGOW/GLASGOW,TWR,118.800,118.805,16/08/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLASGOW/GLASGOW,APP,119.100,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,GLASGOW/GLASGOW,AS,121.700,121.705,16/08/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLASGOW/GLASGOW,APP,125.250,,,-,,,,,,,,,,,,,,,,
Conversion Requested,GLASGOW/GLASGOW,APP,128.750,128.755,16/08/2018,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLASGOW/GLASGOW,ATIS,129.575,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLASGOW/GLASGOW,A/G,130.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLENFORSA,A/G,120.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLENROTHES,A/G,130.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLOUCESTER/STAVERTON,APP,120.975,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLOUCESTER/STAVERTON,TWR,122.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLOUCESTER/STAVERTON,ATIS,127.475,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GLOUCESTER/STAVERTON,APP,128.550,,,-,,,,,,,,,,,,,,,,
Conversion Requested,GRANSDEN LODGE,A/G,131.275,131.280,01/04/2018,-,,,,,,,,,,,,,,,,
Conversion Completed,GREAT OAKLEY,A/G,123.200,123.205,28/02/2018,-,-,,,,,,,,,,,,,,,
Conversion Completed,GROVE FARM,A/G,,130.430,,-,-,,,,,,,,,,,,,,,
Not Yet Converted,GRYPHON,A/G,123.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GUERNSEY/GUERNSEY,APP,118.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GUERNSEY/GUERNSEY,TWR,119.950,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GUERNSEY/GUERNSEY,AS,121.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GUERNSEY/GUERNSEY,APP,124.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,GUERNSEY/GUERNSEY,APP,128.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HALTON,A/G,130.425,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HAVERFORDWEST,AFIS,122.200,122.205,01/06/2018,-,,,,,,,,,,,,,,,,
Problem,HAWARDEN,APP,123.350,120.055,TBC,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,HAWARDEN,TWR,124.950,124.955,24/02/2018,-,EGNR,,,,,,,,,,,,,,,
Conversion Completed,HAWARDEN,ATIS,125.425,125.430,24/02/2018,-,EGNR,,,,,,,,,,,,,,,
Conversion Requested,HAWARDEN,APP,130.015,,TBC,-,EGNR,,,,,,,,,,,,,,,
Not Yet Converted,HEADCORN,A/G,122.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HENLOW,A/G,121.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HENSTRIDGE,A/G,130.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HINTON IN HEDGES,A/G,119.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HOLBEACH,A/G,122.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,HULLAVINGTON,A/G,120.775,,,-,,,,,,,,,,,,,,,,
Conversion Requested,HUMBERSIDE/HUMBERSIDE,APP,119.125,119.130,29/03/2018,LARS/SQUAWK,EGNJ,,,,,,,,,,,,,,,
Conversion Requested,HUMBERSIDE/HUMBERSIDE,ATIS,124.125,124.130,29/03/2018,-,EGNJ,,,,,,,,,,,,,,,
Conversion Requested,HUMBERSIDE/HUMBERSIDE,TWR,124.900,124.905,TBC,-,,,,,,,,,,,,,,,,
Conversion Completed,HUMBERSIDE/HUMBERSIDE,APP,129.250,129.255,,-,EGNJ,,,,,,,,,,,,,,,
Not Yet Converted,INCE,A/G,121.075,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,INVERNESS/INVERNESS,TWR,118.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,INVERNESS/INVERNESS,APP,122.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLAY,A/G,123.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF MAN/RONALDSWAY,TWR,119.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF MAN/RONALDSWAY,APP,120.850,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF MAN/RONALDSWAY,ATIS,123.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF MAN/RONALDSWAY,APP,125.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF MAN/RONALDSWAY,APP,135.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ISLE OF WIGHT/SANDOWN,A/G,119.275,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,JERSEY/JERSEY,APP,118.550,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,JERSEY/JERSEY,TWR,119.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,JERSEY/JERSEY,APP,120.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,JERSEY/JERSEY,AS,121.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,JERSEY/JERSEY,ATIS,134.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,KEMBLE,AFIS,118.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,KENLEY,A/G,120.775,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,KIRKNEWTON,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,KIRKWALL/KIRKWALL,APP,118.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LAKENHEATH,AS,121.575,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LAKENHEATH,APP,128.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LAKENHEATH,A/G,136.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LANDS END,TWR,120.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LASHAM,TWR,122.875,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LASHAM,APP,126.650,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LASHAM,A/G,131.025,,,-,,,,,,,,,,,,,,,,
Conversion Requested,LEEDS & BRADFORD,ATIS,118.025,118.030,29/03/2018,-,EGNM,,,,,,,,,,,,,,,
Conversion Requested,LEEDS & BRADFORD,TWR,120.300,120.305,29/03/2018,-,EGNM,,,,,,,,,,,,,,,
Conversion Requested,LEEDS & BRADFORD,AS,121.800,121.805,29/03/2018,-,EGNM,,,,,,,,,,,,,,,
Conversion Requested,LEEDS & BRADFORD,APP,125.375,125.380,29/03/2018,-,EGNM,,,,,,,,,,,,,,,
Conversion Requested,LEEDS & BRADFORD,APP,134.575,134.580,29/03/2018,-,EGNM,,,,,,,,,,,,,,,
Not Yet Converted,LEEMING,A/G,120.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LEEMING,A/G,131.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,LEEMING,APP,133.375,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,LEE-ON-SOLENT,A/G,118.925,,,-,,,,,,,,,,,,,,,,
